C-R
f	тву	юву
318	0.758	0.371
319	0.757	0.372
320	0.757	0.373
321	0.756	0.374
322	0.755	0.375
323	0.755	0.376
324	0.754	0.377
325	0.753	0.378
326	0.752	0.379
327	0.752	0.38
328	0.751	0.381
329	0.75	0.382
330	0.75	0.383
331	0.749	0.384
332	0.748	0.385
333	0.748	0.386
334	0.747	0.387
335	0.746	0.388
336	0.746	0.389
337	0.745	0.39
338	0.744	0.391
339	0.744	0.392
340	0.743	0.393
341	0.742	0.394
342	0.742	0.395
343	0.741	0.396
344	0.74	0.397
345	0.74	0.398
346	0.739	0.399
347	0.738	0.4
348	0.738	0.401
349	0.737	0.402
350	0.736	0.403
351	0.736	0.404
352	0.735	0.405
353	0.734	0.405
354	0.734	0.406
355	0.733	0.407
356	0.732	0.408
357	0.732	0.409
358	0.731	0.41
359	0.73	0.411
360	0.73	0.412
361	0.729	0.413
362	0.728	0.414
363	0.728	0.415
364	0.727	0.416
365	0.726	0.417
366	0.726	0.418
367	0.725	0.419
368	0.724	0.42
369	0.724	0.421
370	0.723	0.422
371	0.722	0.423
372	0.722	0.423
373	0.721	0.424
374	0.72	0.425
375	0.72	0.426
376	0.719	0.427
377	0.718	0.428
378	0.718	0.429
379	0.717	0.43
380	0.716	0.431
381	0.716	0.432
382	0.715	0.433
383	0.714	0.434
384	0.714	0.435
385	0.713	0.436
386	0.712	0.436
387	0.712	0.437
388	0.711	0.438
389	0.711	0.439
390	0.71	0.44
391	0.709	0.441
392	0.709	0.442
393	0.708	0.443
394	0.707	0.444
395	0.707	0.445
396	0.706	0.446
397	0.705	0.446
398	0.705	0.447
399	0.704	0.448
400	0.703	0.449
401	0.703	0.45
402	0.702	0.451
403	0.702	0.452
404	0.701	0.453
405	0.7	0.454
406	0.7	0.454
407	0.699	0.455
408	0.698	0.456
409	0.698	0.457
410	0.697	0.458
411	0.696	0.459
412	0.696	0.46
413	0.695	0.461
414	0.695	0.462
415	0.694	0.462
416	0.693	0.463
417	0.693	0.464
418	0.692	0.465
419	0.691	0.466
420	0.691	0.467
421	0.69	0.468
422	0.69	0.469
423	0.689	0.469
424	0.688	0.47
425	0.688	0.471
426	0.687	0.472
427	0.686	0.473
428	0.686	0.474
429	0.685	0.475
430	0.685	0.475
431	0.684	0.476
432	0.683	0.477
433	0.683	0.478
434	0.682	0.479
435	0.682	0.48
436	0.681	0.48
437	0.68	0.481
438	0.68	0.482
439	0.679	0.483
440	0.678	0.484
441	0.678	0.485
442	0.677	0.486
443	0.677	0.486
444	0.676	0.487
445	0.675	0.488
446	0.675	0.489
447	0.674	0.49
448	0.674	0.491
449	0.673	0.491
450	0.672	0.492
451	0.672	0.493
452	0.671	0.494
453	0.671	0.495
454	0.67	0.496
455	0.669	0.496
456	0.669	0.497
457	0.668	0.498
458	0.668	0.499
459	0.667	0.5
460	0.666	0.5
461	0.666	0.501
462	0.665	0.502
463	0.665	0.503
464	0.664	0.504
465	0.663	0.505
466	0.663	0.505
467	0.662	0.506
468	0.662	0.507
469	0.661	0.508
470	0.66	0.509
471	0.66	0.509
472	0.659	0.51
473	0.659	0.511
474	0.658	0.512
475	0.657	0.513
476	0.657	0.513
477	0.656	0.514
478	0.656	0.515
479	0.655	0.516
480	0.654	0.517
481	0.654	0.517
482	0.653	0.518
483	0.653	0.519
484	0.652	0.52
485	0.652	0.52
486	0.651	0.521
487	0.65	0.522
488	0.65	0.523
489	0.649	0.524
490	0.649	0.524
491	0.648	0.525
492	0.647	0.526
493	0.647	0.527
494	0.646	0.527
495	0.646	0.528
496	0.645	0.529
497	0.645	0.53
498	0.644	0.53
499	0.643	0.531
500	0.643	0.532
501	0.642	0.533
502	0.642	0.534
503	0.641	0.534
504	0.641	0.535
505	0.64	0.536
506	0.639	0.537
507	0.639	0.537
508	0.638	0.538
509	0.638	0.539
510	0.637	0.54
511	0.637	0.54
512	0.636	0.541
513	0.635	0.542
514	0.635	0.543
515	0.634	0.543
516	0.634	0.544
517	0.633	0.545
518	0.633	0.546
519	0.632	0.546
520	0.632	0.547
521	0.631	0.548
522	0.63	0.548
523	0.63	0.549
524	0.629	0.55
525	0.629	0.551
526	0.628	0.551
527	0.628	0.552
528	0.627	0.553
529	0.627	0.554
530	0.626	0.554
531	0.625	0.555
532	0.625	0.556
533	0.624	0.556
534	0.624	0.557
535	0.623	0.558
536	0.623	0.559
537	0.622	0.559
538	0.622	0.56
539	0.621	0.561
540	0.62	0.562
541	0.62	0.562
542	0.619	0.563
543	0.619	0.564
544	0.618	0.564
545	0.618	0.565
546	0.617	0.566
547	0.617	0.566
548	0.616	0.567
549	0.616	0.568
550	0.615	0.569
551	0.614	0.569
552	0.614	0.57
553	0.613	0.571
554	0.613	0.571
555	0.612	0.572
556	0.612	0.573
557	0.611	0.573
558	0.611	0.574
559	0.61	0.575
560	0.61	0.576
561	0.609	0.576
562	0.609	0.577
563	0.608	0.578
564	0.607	0.578
565	0.607	0.579
566	0.606	0.58
567	0.606	0.58
568	0.605	0.581
569	0.605	0.582
570	0.604	0.582
571	0.604	0.583
572	0.603	0.584
573	0.603	0.584
574	0.602	0.585
575	0.602	0.586
576	0.601	0.586
577	0.601	0.587
578	0.6	0.588
579	0.6	0.588
580	0.599	0.589
581	0.599	0.59
582	0.598	0.59
583	0.597	0.591
584	0.597	0.592
585	0.596	0.592
586	0.596	0.593
587	0.595	0.594
588	0.595	0.594
589	0.594	0.595
590	0.594	0.596
591	0.593	0.596
592	0.593	0.597
593	0.592	0.598
594	0.592	0.598
595	0.591	0.599
596	0.591	0.599
597	0.59	0.6
598	0.59	0.601
599	0.589	0.601
600	0.589	0.602
601	0.588	0.603
602	0.588	0.603
603	0.587	0.604
604	0.587	0.605
605	0.586	0.605
606	0.586	0.606
607	0.585	0.606
608	0.585	0.607
609	0.584	0.608
610	0.584	0.608
611	0.583	0.609
612	0.583	0.61
613	0.582	0.61
614	0.582	0.611
