R-C
f	тву	юву
318	0.758	0.929
319	0.757	0.928
320	0.757	0.928
321	0.756	0.927
322	0.755	0.927
323	0.755	0.927
324	0.754	0.926
325	0.753	0.926
326	0.752	0.925
327	0.752	0.925
328	0.751	0.925
329	0.75	0.924
330	0.75	0.924
331	0.749	0.923
332	0.748	0.923
333	0.748	0.922
334	0.747	0.922
335	0.746	0.922
336	0.746	0.921
337	0.745	0.921
338	0.744	0.92
339	0.744	0.92
340	0.743	0.92
341	0.742	0.919
342	0.742	0.919
343	0.741	0.918
344	0.74	0.918
345	0.74	0.917
346	0.739	0.917
347	0.738	0.917
348	0.738	0.916
349	0.737	0.916
350	0.736	0.915
351	0.736	0.915
352	0.735	0.915
353	0.734	0.914
354	0.734	0.914
355	0.733	0.913
356	0.732	0.913
357	0.732	0.912
358	0.731	0.912
359	0.73	0.912
360	0.73	0.911
361	0.729	0.911
362	0.728	0.91
363	0.728	0.91
364	0.727	0.909
365	0.726	0.909
366	0.726	0.909
367	0.725	0.908
368	0.724	0.908
369	0.724	0.907
370	0.723	0.907
371	0.722	0.906
372	0.722	0.906
373	0.721	0.905
374	0.72	0.905
375	0.72	0.905
376	0.719	0.904
377	0.718	0.904
378	0.718	0.903
379	0.717	0.903
380	0.716	0.902
381	0.716	0.902
382	0.715	0.902
383	0.714	0.901
384	0.714	0.901
385	0.713	0.9
386	0.712	0.9
387	0.712	0.899
388	0.711	0.899
389	0.711	0.898
390	0.71	0.898
391	0.709	0.898
392	0.709	0.897
393	0.708	0.897
394	0.707	0.896
395	0.707	0.896
396	0.706	0.895
397	0.705	0.895
398	0.705	0.894
399	0.704	0.894
400	0.703	0.893
401	0.703	0.893
402	0.702	0.893
403	0.702	0.892
404	0.701	0.892
405	0.7	0.891
406	0.7	0.891
407	0.699	0.89
408	0.698	0.89
409	0.698	0.889
410	0.697	0.889
411	0.696	0.888
412	0.696	0.888
413	0.695	0.888
414	0.695	0.887
415	0.694	0.887
416	0.693	0.886
417	0.693	0.886
418	0.692	0.885
419	0.691	0.885
420	0.691	0.884
421	0.69	0.884
422	0.69	0.883
423	0.689	0.883
424	0.688	0.883
425	0.688	0.882
426	0.687	0.882
427	0.686	0.881
428	0.686	0.881
429	0.685	0.88
430	0.685	0.88
431	0.684	0.879
432	0.683	0.879
433	0.683	0.878
434	0.682	0.878
435	0.682	0.877
436	0.681	0.877
437	0.68	0.877
438	0.68	0.876
439	0.679	0.876
440	0.678	0.875
441	0.678	0.875
442	0.677	0.874
443	0.677	0.874
444	0.676	0.873
445	0.675	0.873
446	0.675	0.872
447	0.674	0.872
448	0.674	0.871
449	0.673	0.871
450	0.672	0.87
451	0.672	0.87
452	0.671	0.87
453	0.671	0.869
454	0.67	0.869
455	0.669	0.868
456	0.669	0.868
457	0.668	0.867
458	0.668	0.867
459	0.667	0.866
460	0.666	0.866
461	0.666	0.865
462	0.665	0.865
463	0.665	0.864
464	0.664	0.864
465	0.663	0.863
466	0.663	0.863
467	0.662	0.862
468	0.662	0.862
469	0.661	0.862
470	0.66	0.861
471	0.66	0.861
472	0.659	0.86
473	0.659	0.86
474	0.658	0.859
475	0.657	0.859
476	0.657	0.858
477	0.656	0.858
478	0.656	0.857
479	0.655	0.857
480	0.654	0.856
481	0.654	0.856
482	0.653	0.855
483	0.653	0.855
484	0.652	0.854
485	0.652	0.854
486	0.651	0.853
487	0.65	0.853
488	0.65	0.852
489	0.649	0.852
490	0.649	0.852
491	0.648	0.851
492	0.647	0.851
493	0.647	0.85
494	0.646	0.85
495	0.646	0.849
496	0.645	0.849
497	0.645	0.848
498	0.644	0.848
499	0.643	0.847
500	0.643	0.847
501	0.642	0.846
502	0.642	0.846
503	0.641	0.845
504	0.641	0.845
505	0.64	0.844
506	0.639	0.844
507	0.639	0.843
508	0.638	0.843
509	0.638	0.842
510	0.637	0.842
511	0.637	0.841
512	0.636	0.841
513	0.635	0.84
514	0.635	0.84
515	0.634	0.84
516	0.634	0.839
517	0.633	0.839
518	0.633	0.838
519	0.632	0.838
520	0.632	0.837
521	0.631	0.837
522	0.63	0.836
523	0.63	0.836
524	0.629	0.835
525	0.629	0.835
526	0.628	0.834
527	0.628	0.834
528	0.627	0.833
529	0.627	0.833
530	0.626	0.832
531	0.625	0.832
532	0.625	0.831
533	0.624	0.831
534	0.624	0.83
535	0.623	0.83
536	0.623	0.829
537	0.622	0.829
538	0.622	0.828
539	0.621	0.828
540	0.62	0.827
541	0.62	0.827
542	0.619	0.827
543	0.619	0.826
544	0.618	0.826
545	0.618	0.825
546	0.617	0.825
547	0.617	0.824
548	0.616	0.824
549	0.616	0.823
550	0.615	0.823
551	0.614	0.822
552	0.614	0.822
553	0.613	0.821
554	0.613	0.821
555	0.612	0.82
556	0.612	0.82
557	0.611	0.819
558	0.611	0.819
559	0.61	0.818
560	0.61	0.818
561	0.609	0.817
562	0.609	0.817
563	0.608	0.816
564	0.607	0.816
565	0.607	0.815
566	0.606	0.815
567	0.606	0.814
568	0.605	0.814
569	0.605	0.813
570	0.604	0.813
571	0.604	0.812
572	0.603	0.812
573	0.603	0.812
574	0.602	0.811
575	0.602	0.811
576	0.601	0.81
577	0.601	0.81
578	0.6	0.809
579	0.6	0.809
580	0.599	0.808
581	0.599	0.808
582	0.598	0.807
583	0.597	0.807
584	0.597	0.806
585	0.596	0.806
586	0.596	0.805
587	0.595	0.805
588	0.595	0.804
589	0.594	0.804
590	0.594	0.803
591	0.593	0.803
592	0.593	0.802
593	0.592	0.802
594	0.592	0.801
595	0.591	0.801
596	0.591	0.8
597	0.59	0.8
598	0.59	0.799
599	0.589	0.799
600	0.589	0.798
601	0.588	0.798
602	0.588	0.798
603	0.587	0.797
604	0.587	0.797
605	0.586	0.796
606	0.586	0.796
607	0.585	0.795
608	0.585	0.795
609	0.584	0.794
610	0.584	0.794
611	0.583	0.793
612	0.583	0.793
613	0.582	0.792
614	0.582	0.792
615	0.581	0.791
616	0.581	0.791
617	0.58	0.79
618	0.58	0.79
619	0.579	0.789
620	0.579	0.789
621	0.578	0.788
622	0.578	0.788
623	0.577	0.787
624	0.577	0.787
625	0.576	0.786
626	0.576	0.786
627	0.575	0.785
628	0.575	0.785
629	0.574	0.785
630	0.574	0.784
631	0.573	0.784
632	0.573	0.783
633	0.572	0.783
634	0.572	0.782
635	0.571	0.782
636	0.571	0.781
637	0.57	0.781
638	0.57	0.78
639	0.569	0.78
640	0.569	0.779
641	0.568	0.779
642	0.568	0.778
643	0.567	0.778
644	0.567	0.777
645	0.566	0.777
646	0.566	0.776
647	0.565	0.776
648	0.565	0.775
649	0.564	0.775
650	0.564	0.774
651	0.563	0.774
652	0.563	0.774
653	0.563	0.773
654	0.562	0.773
655	0.562	0.772
656	0.561	0.772
657	0.561	0.771
658	0.56	0.771
659	0.56	0.77
660	0.559	0.77
661	0.559	0.769
662	0.558	0.769
663	0.558	0.768
664	0.557	0.768
665	0.557	0.767
666	0.556	0.767
667	0.556	0.766
668	0.555	0.766
669	0.555	0.765
670	0.554	0.765
671	0.554	0.764
672	0.554	0.764
673	0.553	0.764
674	0.553	0.763
675	0.552	0.763
676	0.552	0.762
677	0.551	0.762
678	0.551	0.761
679	0.55	0.761
680	0.55	0.76
681	0.549	0.76
682	0.549	0.759
683	0.548	0.759
684	0.548	0.758
685	0.548	0.758
686	0.547	0.757
687	0.547	0.757
688	0.546	0.756
689	0.546	0.756
690	0.545	0.756
691	0.545	0.755
692	0.544	0.755
693	0.544	0.754
694	0.543	0.754
695	0.543	0.753
696	0.543	0.753
697	0.542	0.752
698	0.542	0.752
699	0.541	0.751
700	0.541	0.751
701	0.54	0.75
702	0.54	0.75
703	0.539	0.749
704	0.539	0.749
705	0.538	0.749
706	0.538	0.748
707	0.538	0.748
708	0.537	0.747
709	0.537	0.747
710	0.536	0.746
711	0.536	0.746
712	0.535	0.745
713	0.535	0.745
714	0.534	0.744
715	0.534	0.744
716	0.534	0.743
717	0.533	0.743
718	0.533	0.742
719	0.532	0.742
720	0.532	0.742
721	0.531	0.741
722	0.531	0.741
723	0.53	0.74
724	0.53	0.74
725	0.53	0.739
726	0.529	0.739
727	0.529	0.738
728	0.528	0.738
729	0.528	0.737
730	0.527	0.737
731	0.527	0.736
732	0.527	0.736
733	0.526	0.736
734	0.526	0.735
735	0.525	0.735
736	0.525	0.734
737	0.524	0.734
738	0.524	0.733
739	0.524	0.733
740	0.523	0.732
741	0.523	0.732
742	0.522	0.731
743	0.522	0.731
744	0.521	0.73
745	0.521	0.73
746	0.521	0.73
747	0.52	0.729
748	0.52	0.729
749	0.519	0.728
750	0.519	0.728
