R-L
f	тву	юву
318	0.295	0.894
319	0.295	0.895
320	0.294	0.895
321	0.293	0.896
322	0.292	0.896
323	0.291	0.897
324	0.291	0.898
325	0.29	0.898
326	0.289	0.899
327	0.288	0.899
328	0.288	0.9
329	0.287	0.9
330	0.286	0.901
331	0.285	0.901
332	0.285	0.902
333	0.284	0.902
334	0.283	0.903
335	0.282	0.903
336	0.282	0.904
337	0.281	0.904
338	0.28	0.905
339	0.279	0.905
340	0.279	0.906
341	0.278	0.906
342	0.277	0.907
343	0.277	0.907
344	0.276	0.908
345	0.275	0.908
346	0.274	0.908
347	0.274	0.909
348	0.273	0.909
349	0.272	0.91
350	0.272	0.91
351	0.271	0.911
352	0.27	0.911
353	0.27	0.912
354	0.269	0.912
355	0.268	0.912
356	0.268	0.913
357	0.267	0.913
358	0.266	0.914
359	0.266	0.914
360	0.265	0.915
361	0.264	0.915
362	0.264	0.915
363	0.263	0.916
364	0.262	0.916
365	0.262	0.917
366	0.261	0.917
367	0.26	0.917
368	0.26	0.918
369	0.259	0.918
370	0.259	0.919
371	0.258	0.919
372	0.257	0.919
373	0.257	0.92
374	0.256	0.92
375	0.256	0.921
376	0.255	0.921
377	0.254	0.921
378	0.254	0.922
379	0.253	0.922
380	0.253	0.922
381	0.252	0.923
382	0.251	0.923
383	0.251	0.923
384	0.25	0.924
385	0.25	0.924
386	0.249	0.924
387	0.248	0.925
388	0.248	0.925
389	0.247	0.926
390	0.247	0.926
391	0.246	0.926
392	0.246	0.927
393	0.245	0.927
394	0.244	0.927
395	0.244	0.928
396	0.243	0.928
397	0.243	0.928
398	0.242	0.929
399	0.242	0.929
400	0.241	0.929
401	0.241	0.929
402	0.24	0.93
403	0.239	0.93
404	0.239	0.93
405	0.238	0.931
406	0.238	0.931
407	0.237	0.931
408	0.237	0.932
409	0.236	0.932
410	0.236	0.932
411	0.235	0.933
412	0.235	0.933
413	0.234	0.933
414	0.234	0.933
415	0.233	0.934
416	0.233	0.934
417	0.232	0.934
418	0.232	0.935
419	0.231	0.935
420	0.231	0.935
421	0.23	0.935
422	0.23	0.936
423	0.229	0.936
424	0.229	0.936
425	0.228	0.936
426	0.228	0.937
427	0.227	0.937
428	0.227	0.937
429	0.226	0.938
430	0.226	0.938
431	0.225	0.938
432	0.225	0.938
433	0.224	0.939
434	0.224	0.939
435	0.223	0.939
436	0.223	0.939
437	0.222	0.94
438	0.222	0.94
439	0.221	0.94
440	0.221	0.94
441	0.22	0.941
442	0.22	0.941
443	0.22	0.941
444	0.219	0.941
445	0.219	0.942
446	0.218	0.942
447	0.218	0.942
448	0.217	0.942
449	0.217	0.943
450	0.216	0.943
451	0.216	0.943
452	0.216	0.943
453	0.215	0.943
454	0.215	0.944
455	0.214	0.944
456	0.214	0.944
457	0.213	0.944
458	0.213	0.945
459	0.212	0.945
460	0.212	0.945
461	0.212	0.945
462	0.211	0.945
463	0.211	0.946
464	0.21	0.946
465	0.21	0.946
466	0.21	0.946
467	0.209	0.947
468	0.209	0.947
469	0.208	0.947
470	0.208	0.947
471	0.207	0.947
472	0.207	0.948
473	0.207	0.948
474	0.206	0.948
475	0.206	0.948
476	0.205	0.948
477	0.205	0.949
478	0.205	0.949
479	0.204	0.949
480	0.204	0.949
481	0.203	0.949
482	0.203	0.95
483	0.203	0.95
484	0.202	0.95
485	0.202	0.95
486	0.201	0.95
487	0.201	0.951
488	0.201	0.951
489	0.2	0.951
490	0.2	0.951
491	0.2	0.951
492	0.199	0.951
493	0.199	0.952
494	0.198	0.952
495	0.198	0.952
496	0.198	0.952
497	0.197	0.952
498	0.197	0.953
499	0.197	0.953
500	0.196	0.953
501	0.196	0.953
502	0.195	0.953
503	0.195	0.953
504	0.195	0.954
505	0.194	0.954
506	0.194	0.954
507	0.194	0.954
508	0.193	0.954
509	0.193	0.954
510	0.193	0.955
511	0.192	0.955
512	0.192	0.955
513	0.192	0.955
514	0.191	0.955
515	0.191	0.955
516	0.19	0.956
517	0.19	0.956
518	0.19	0.956
519	0.189	0.956
520	0.189	0.956
521	0.189	0.956
522	0.188	0.957
523	0.188	0.957
524	0.188	0.957
525	0.187	0.957
526	0.187	0.957
527	0.187	0.957
528	0.186	0.957
529	0.186	0.958
530	0.186	0.958
531	0.185	0.958
532	0.185	0.958
533	0.185	0.958
534	0.184	0.958
535	0.184	0.958
536	0.184	0.959
537	0.183	0.959
538	0.183	0.959
539	0.183	0.959
540	0.182	0.959
541	0.182	0.959
542	0.182	0.959
543	0.182	0.96
544	0.181	0.96
545	0.181	0.96
546	0.181	0.96
547	0.18	0.96
548	0.18	0.96
549	0.18	0.96
550	0.179	0.961
551	0.179	0.961
552	0.179	0.961
553	0.178	0.961
554	0.178	0.961
555	0.178	0.961
556	0.177	0.961
557	0.177	0.962
558	0.177	0.962
559	0.177	0.962
560	0.176	0.962
561	0.176	0.962
562	0.176	0.962
563	0.175	0.962
564	0.175	0.962
565	0.175	0.963
566	0.175	0.963
567	0.174	0.963
568	0.174	0.963
569	0.174	0.963
570	0.173	0.963
571	0.173	0.963
572	0.173	0.963
573	0.172	0.964
574	0.172	0.964
575	0.172	0.964
576	0.172	0.964
577	0.171	0.964
